2000%Alfred Abel
2001%Helena Bonham Carter
2002%James Woods 
2003%William Hurt
2004%Caroline Goodall 
2005%Daveigh Chase 
2006%Olivia Wilde
2007%Charlton Heston
2008%Gian Maria Volonté
2009%Roy Scheider
2010%Jinpachi Nezu
2011%Stephen Fry 
2012%Willem Dafoe 
2013%Ryan O'Neal
2014%Tony Roberts
2015%Devon Aoki
2016%Liv Ullmann
2017%Kristian Almgren 
2018%Gladys George
2019%Mari Natsuki
2020%Jeff Bridges
2021%Sharman Joshi
2022%Anil Kapoor
2023%Tommy Lee Jones
2024%Christopher Plummer 
2025%Val Kilmer
2026%Woody Harrelson 
2027%E.G. Marshall 
2028%Philip Seymour Hoffman
2029%Arifin Putra
2030%Annika Wedderkopp
2031%Thomas Mitchell
2032%Uma Thurman
2033%Rod Steiger 
2034%Ralph Meeker
2035%Ayano Shiraishi
2036%Bonnie Bedelia
2037%Debbie Reynolds
2038%Joseph Melito
2039%Derek Jacobi
2040%Ulrich Mühe
2041%Toni Collette
2042%Coleen Gray
2043%Jonah Hill
2044%Rudolf Klein-Rogge
2045%Jerry O'Connell 
2046%Lawrence A. Bonney
2047%Cathy Moriarty
2048%Richard Attenborough
2049%Jean Martin
2050%Janet Leigh 
2051%Gunnar Björnstrand
2052%Aleksandr Kaydanovskiy
2053%Spencer Tracy
2054%Emma Stone
2055%Heath Ledger
2056%Charles Vanel 
2057%Ellen DeGeneres
2058%Victor Jory
2059%Shelley Duvall
2060%Burt Lancaster
2061%Ray Bolger
2062%Tom Skerritt
2063%Roscoe Karns 
2064%Janet Leigh
2065%Aldo Giuffrè 
2066%Kevin Pollak 
2067%Buster Keaton
2068%Bill Murray
2069%Sterling Hayden
2070%Elizabeth Taylor
2071%Vernon Dobtcheff
2072%Chika Sakamoto
2073%Kirk Douglas
2074%Kim Novak
2075%Mark Hamill 
2076%Barbara Stanwyck
2077%Ned Beatty 
2078%Gabriel Byrne
2079%Carl Weathers 
2080%Anne Bancroft
2081%Phellipe Haagensen
2082%Nikolay Grinko 
2083%Martina Gedeck
2084%Jackie Coogan
2085%Alida Valli
2086%Steve Buscemi 
2087%Steven Bauer
2088%Paul Winfield 
2089%Warren Clarke 
2090%Joseph Cotten
2091%Wilford Brimley
2092%John Fiedler
2093%Tsutomu Tatsumi
2094%Ingrid Bergman
2095%Rutger Hauer
2096%Javier Bardem
2097%Gene Kelly
2098%Bruce Willis
2099%James Caan
2100%Harrison Ford
2101%John Williams 
2102%Paige O'Hara
2103%Mathieu Amalric
2104%Robert Redford
2105%Daryl Hannah 
2106%Vin Diesel 
2107%Eddie Albert
2108%Ellar Coltrane
2109%Shin'ichi Himori
2110%Takashi Shimura
2111%Hubert Koundé
2112%Vincent Cassel
2113%Robert Downey Jr.
2114%Vince Edwards
2115%Robert Duvall
2116%Richard White
2117%Robert Walker
2118%Max von Sydow 
2119%Carl Miller
2120%Donald O'Connor
2121%Preity Zinta 
2122%Agnes Moorehead
2123%Bob Gunton
2124%Trevor Howard 
2125%Dick Hogan
2126%Jake Gyllenhaal
2127%Masayuki Mori
2128%Dae-han Ji 
2129%John Savage
2130%Hussein Sami
2131%Jeff Goldblum
2132%Orlando Bloom
2133%Börje Ahlstedt
2134%Noriko Hidaka
2135%Matthew Modine
2136%Tio Pakusodewo
2137%Candice Bergen
2138%Sessue Hayakawa 
2139%Edward Arnold 
2140%Josh Brolin
2141%Michal Zebrowski
2142%John Cazale
2143%Victor Argo
2144%Johnny Depp
2145%Viola Davis
2146%Eva Marie Saint
2147%Tanay Chheda
2148%Brad Pitt
2149%Graham Chapman
2150%David Clennon 
2151%Shelley Winters
2152%Peter O'Toole
2153%Leandro Firmino
2154%Joe Pesci
2155%Audrey Fleurot 
